Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
0.0,0.048764219312884285,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03061219332783716,0.01,0.05,0.0,0.0,0.002,0.0,0.0
8.865970449189923e-28,0.048764219312884285,2.16515233862402e-25,1.691538845292041e-53,2.1928713615968835e-22,-2.104044753380072e-231,2.2482161883808073e-25,0.938,1.4275818163181051e-126,6.58154050052437e-23,6.947626230132917e-79,8.306384975678681e-27,9.02146807760008e-24,0.0,0.0,0.03061219332783716,0.01,0.05,1.6237644683095642e-142,1.5618313829802147e-156,0.002,-3.868404586425245e-242,5.710920664775607e-164
2.4824717257731785e-27,0.048764219312884285,6.0624265481472555e-25,1.0216894625564072e-52,6.140039812471275e-22,7.39215461567834e-229,6.295005327466259e-25,0.938,8.684677032399665e-125,1.842831340146824e-22,8.248221860414105e-78,2.32578779319003e-26,2.5260110617280225e-23,0.0,0.0,0.03061219332783716,0.01,0.05,1.8769660842934614e-130,1.7258671957760767e-154,0.002,2.4424921393729933e-239,1.1882503230042173e-151
5.67422108748155e-27,0.048764219312884285,1.3856974967193729e-24,4.918994962109467e-52,1.4034376714220056e-21,8.134441413453603e-226,1.4388583605637165e-24,0.938,3.9206783500143196e-123,4.2121859203355974e-22,8.09815313384384e-77,5.316086384434353e-26,5.773739569664051e-23,0.0,0.0,0.03061219332783716,0.01,0.05,3.619863162563314e-129,1.5614348663211336e-152,0.002,5.386468545603156e-236,4.702076278168277e-150
1.2057719810898294e-26,0.048764219312884285,2.944607180528667e-24,2.1482543335211088e-51,2.9823050517717598e-21,5.9953569756951515e-223,3.0575740161978978e-24,0.938,1.4803735450771897e-121,8.950895080713144e-22,7.162724738219721e-76,1.1296683566922988e-25,1.2269196585536108e-22,0.0,0.0,0.03061219332783716,0.01,0.05,6.196669458285177e-128,1.1817174476665568e-150,0.002,7.941803123676179e-233,1.6161901893301417e-148
2.482471725773178e-26,0.048764219312884285,6.062426548147256e-24,8.968538957740343e-51,6.1400398124712625e-21,3.6608993759891595e-220,6.29500532746626e-24,0.938,5.1361035306382595e-120,1.8428313401468237e-21,6.020701729016908e-75,2.325787793190024e-25,2.526011061728022e-22,0.0,0.0,0.03061219332783716,0.01,0.05,1.0229733297409062e-126,8.20967846453448e-149,0.002,9.700249666739652e-230,5.34252622726464e-147
5.035871215139876e-26,0.048764219312884285,1.2298065283384434e-23,3.6639408004580125e-50,1.2455509333870246e-20,2.043764374178668e-217,1.2769867950002986e-23,0.938,1.7105369166754756e-118,3.738315004297842e-21,4.936135032928045e-74,4.718026666185463e-25,5.124193868076845e-22,0.0,0.0,0.03061219332783716,0.01,0.05,1.6618738151746236e-125,5.471715928078211e-147,0.002,1.0831518322652058e-226,1.736756347855589e-145
1.0142670193873272e-25,0.048764219312884285,2.476934275385879e-23,1.4810234529191037e-49,2.5086448376668125e-20,1.092236276552331e-214,2.5719593195076445e-23,0.938,5.5834773915457834e-117,7.529282332599881e-21,3.997410127613003e-73,9.502504412176297e-25,1.0320559480774492e-21,0.0,0.0,0.03061219332783716,0.01,0.05,2.679082445799295e-124,3.573240067852301e-145,0.002,1.1577705299762672e-223,5.601022429319008e-144
2.0356268151340061e-25,0.048764219312884285,4.97118976948075e-23,5.955130166415368e-49,5.034832646226352e-20,5.71283571103022e-212,5.161904368522338e-23,0.938,1.804483411869508e-115,1.5111216989203955e-20,3.2174634375321013e-72,1.907145990415779e-24,2.071329070616978e-21,0.0,0.0,0.03061219332783716,0.01,0.05,4.3025985016488055e-123,2.3099840104060615e-143,0.002,1.2111459575579998e-220,1.799270811342512e-142
4.0783464066273645e-25,0.048764219312884285,9.959700757670492e-23,2.3882735464435588e-48,1.0087208263345285e-19,2.956266627724412e-209,1.034179446655173e-22,0.938,5.802948225536693e-114,3.027508630241211e-20,2.581811779862397e-71,3.820937088812009e-24,4.149875315696035e-21,0.0,0.0,0.03061219332783716,0.01,0.05,6.897010784878747e-122,1.4858303098089006e-141,0.002,1.2534956078913118e-217,5.768776268491969e-141
8.163785589614081e-25,0.048764219312884285,1.9936722734049977e-22,9.565551354481928e-48,2.0191959497582572e-19,1.5216747785513028e-206,2.0701574662610546e-22,0.938,1.86153314087392e-112,6.060282492882841e-20,2.068591214636249e-70,7.648519285604188e-24,8.306967805854147e-21,0.0,0.0,0.03061219332783716,0.01,0.05,1.1045499792846794e-120,9.533196298902307e-140,0.002,1.2904265785940443e-214,1.847785950629015e-139
1.6334663955587515e-24,0.048764219312884285,3.9890766686808946e-22,3.8287133964481945e-47,4.040146196605483e-19,7.811694908039e-204,4.142113505472828e-22,0.938,5.9642603994448584e-111,1.21258302181661e-19,1.656130763757511e-69,1.530368367918744e-23,1.6621152786170362e-20,0.0,0.0,0.03061219332783716,0.01,0.05,1.768102569761249e-119,6.108899602369501e-138,0.002,1.3249144952552782e-211,5.915759113081026e-138
3.2676420687534378e-24,0.048764219312884285,7.979885459232689e-22,1.5319840716166295e-46,8.08204669029901e-19,4.004901109261896e-201,8.286025583896421e-22,0.938,1.909740889433932e-109,2.425692566873262e-19,1.325407943005672e-68,3.061401246634949e-23,3.324952274680276e-20,0.0,0.0,0.03061219332783716,0.01,0.05,2.8296221940329084e-118,3.91214687853014e-136,0.002,1.3585165517246443e-208,1.893497967610671e-136
6.5359934151428104e-24,0.048764219312884285,1.5961503040336276e-21,6.128933854766513e-46,1.6165847677682359e-18,2.0518706827274297e-198,1.6573849740743784e-21,0.938,6.113055637975239e-108,4.851911656986567e-19,1.0605277302938774e-67,6.123467004065579e-23,6.65062626680674e-20,0.0,0.0,0.03061219332783716,0.01,0.05,4.527921976700971e-117,2.5045586630219545e-134,0.002,1.3920454050911654e-205,6.059921579049328e-135
1.3072696107921556e-23,0.048764219312884285,3.1924738202543448e-21,2.451773069884354e-45,3.2333449652434236e-18,1.0509063811203901e-195,3.3149498054439214e-21,0.938,1.9564794264994124e-106,9.704349837213174e-19,8.485027432947092e-67,1.2247598518919717e-22,1.3301974251059607e-19,0.0,0.0,0.030612193327837156,0.01,0.05,7.245096336735396e-116,1.6031686836573907e-132,0.002,1.425927945848742e-202,1.939291398794413e-133
2.6146101493479046e-23,0.048764219312884285,6.385120852695778e-21,9.807491350572428e-45,6.4668653601878735e-18,5.381532709772557e-193,6.630079468183292e-21,0.938,6.261216806336076e-105,1.940922619766639e-18,6.788344201379971e-66,2.449586154859952e-22,2.6604670219565114e-19,0.0,0.0,0.030612193327837153,0.01,0.05,1.1592491081236588e-114,1.0261083299887046e-130,0.002,1.4603925271036878e-199,6.205918867451566e-132
5.229291226459403e-23,0.048764219312884285,1.277041491757864e-20,3.9230763565533366e-44,1.2933906150053063e-17,2.755572574631402e-190,1.3260338793663167e-20,0.938,2.003666605135828e-103,3.881897891857282e-18,5.4308042690715196e-65,4.899238760784521e-22,5.321006215657515e-19,0.0,0.0,0.030612193327837142,0.009999999999999998,0.049999999999999996,1.854825529434295e-113,6.567350518944799e-129,0.0019999999999999996,1.4955657207885417e-196,1.985923861289466e-130
1.0458653380682399e-22,0.048764219312884285,2.5541003047344345e-20,1.5692465065854742e-43,2.5867987729688612e-17,1.410910912763711e-187,2.652085744462745e-20,0.938,6.411856708494404e-102,7.763848436038568e-18,4.3446949831589255e-64,9.798543972588096e-22,1.0642084603059136e-18,0.0,0.0,0.030612193327837125,0.009999999999999997,0.04999999999999998,2.9677424155708896e-112,4.203186644127297e-127,0.001999999999999999,1.5315220523169855e-193,6.35500408106516e-129
2.0917377689128394e-22,0.048764219312884285,5.108217930687568e-20,6.277017958869677e-43,5.173615088858038e-17,7.224005868349157e-185,5.304189474657417e-20,0.938,2.0518139222173616e-100,1.5527749524401136e-17,3.4757766202675084e-63,1.9597154396012994e-21,2.128424137786085e-18,0.0,0.0,0.03061219332783709,0.009999999999999993,0.049999999999999954,4.748405130340198e-111,2.690065797262964e-125,0.001999999999999998,1.5683094408998886e-190,2.033608946418056e-127
4.1834826306020384e-22,0.048764219312884285,1.0216453182593806e-19,2.510813573633567e-42,1.034724772048466e-16,3.6987213545541454e-182,1.060839693505402e-19,0.938,6.565836216027752e-99,3.105555170112627e-17,2.7806295600448863e-62,3.919437524213377e-21,4.256855492745814e-18,0.0,0.0,0.03061219332783702,0.009999999999999986,0.049999999999999906,7.597462054952818e-110,1.7216505469362476e-123,0.0019999999999999957,1.6059620632364556e-187,6.507560882018023e-126
8.366972353980436e-22,0.048764219312884285,2.043292368640617e-19,1.0043267103247312e-41,2.069451298313098e-16,1.8937469579326625e-179,2.1216811855876267e-19,0.938,2.101072670861759e-97,6.211115605457648e-17,2.2245069700652782e-61,7.838881693145927e-21,8.513718202662818e-18,0.0,0.0,0.030612193327836882,0.00999999999999997,0.0499999999999998,1.2155950474065968e-108,1.1018590577630872e-121,0.0019999999999999914,1.64450657517959e-184,2.0824214611813028e-124
1.6733951800737232e-21,0.048764219312884285,4.086586469403044e-19,4.0173094258649117e-41,4.138904350599592e-16,9.695925656720942e-177,4.2433641697636896e-19,0.938,6.723440775648693e-96,1.2422236476147678e-16,1.7796069312514902e-60,1.56777700298446e-20,1.7027443622487008e-17,0.0,0.0,0.030612193327836604,0.00999999999999994,0.04999999999999959,1.9449530056265654e-107,7.051906736502506e-120,0.0019999999999999827,1.6839645377051614e-181,6.663751959700702e-123
3.346791069425082e-21,0.048764219312884285,8.1731746709277115e-19,1.6069243055168681e-40,8.2778104542015e-16,4.964234456949452e-174,8.486730138162275e-19,0.938,2.1515024276194523e-94,2.484447821752767e-16,1.4236861292993867e-59,3.135554669857625e-20,3.4054894462096105e-17,0.0,0.0,0.03061219332783605,0.009999999999999877,0.04999999999999918,3.1119256644543254e-106,4.513223247420201e-118,0.0019999999999999653,1.7243520958286768e-178,2.1324012278106557e-121
