Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.05954180215024143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737792143899724,0.01,0.05,0.0,0.0,0.002,0.0
8.575307539046001e-28,0.05954180215024143,2.3140473059719353e-25,7.950525776697163e-51,2.3436725333937114e-22,-1.900103163831481e-211,2.6146986646859084e-25,-1.7091578432838613e-183,-2.359516509570326e-156,0.938,7.843191420305775e-114,3.5170726310330765e-24,4.354965942195486e-74,3.0065135871397313e-26,7.713491019906447e-24,0.0,0.0,0.03737792143899724,0.01,0.05,2.4027271149820048e-135,3.4939792390164325e-140,0.002,-4.834211325340914e-222
2.40108611093288e-27,0.05954180215024143,6.479332456721418e-25,4.802117569125085e-50,6.562283093502392e-22,6.675645275555161e-209,7.321156261120545e-25,3.0963902885074473e-181,2.3878920175547247e-154,0.938,4.771396089289664e-112,9.847803366892614e-24,5.17021556657448e-73,8.418238043991247e-26,2.1597774855738056e-23,0.0,0.0,0.03737792143899724,0.01,0.05,6.380800338824929e-124,3.8609443319573255e-138,0.002,3.0522979011201616e-219
5.48819682498944e-27,0.05954180215024143,1.4809902758220383e-24,2.3120128958635368e-49,1.4999504213719747e-21,7.345983417156607e-206,1.6734071453989817e-24,1.3071183365866696e-178,5.000613026440469e-152,0.938,2.154036272206317e-110,2.2509264838611685e-23,5.076148302223062e-72,1.9241686957694275e-25,4.936634252740127e-23,0.0,0.0,0.03737792143899724,0.01,0.05,1.2305829224832726e-122,3.4930921153211815e-136,0.002,6.7312833153031e-216
1.1662418253102561e-26,0.05954180215024143,3.1471043361218314e-24,1.0097167736405423e-48,3.1873946454154427e-21,5.414236907318487e-203,3.555990183972836e-24,4.204344503353276e-176,8.036266575420505e-150,0.938,8.133231109036581e-109,4.783218778204983e-23,4.48979568776587e-71,4.0888584785100317e-25,1.0490347787072769e-22,0.0,0.0,0.03737792143899724,0.01,0.05,2.106575654709872e-121,2.6436247761339603e-134,0.002,9.924596496651983e-213
2.40108611093288e-26,0.05954180215024143,6.4793324567214174e-24,4.2153687668048616e-48,6.5622830935023685e-21,3.306054434253769e-200,7.321156261120544e-24,1.2026683407832082e-173,1.148955868520836e-147,0.938,2.8217956983567236e-107,9.847803366892611e-23,3.773943806051557e-70,8.418238043991235e-25,2.1597774855738054e-22,0.0,0.0,0.03737792143899724,0.01,0.05,3.477627338937076e-120,1.8365904164128342e-132,0.002,1.2122066280788907e-209
4.870774682178128e-26,0.05954180215024143,1.314378869792059e-23,1.722115685335735e-47,1.3312059989676175e-20,1.8456656622265263e-197,1.4851488415415964e-23,3.252067226769869e-171,1.5530978018934023e-145,0.938,9.397757822752732e-106,1.997697254426787e-22,3.0941071442819315e-69,1.7076997174953613e-24,4.381262899306861e-22,0.0,0.0,0.03737792143899724,0.01,0.05,5.649587966261579e-119,1.2240797344559287e-130,0.002,1.3535773565241463e-206
9.810151824668625e-26,0.05954180215024143,2.6472701180318933e-23,6.961066942735837e-47,2.6811613782023616e-20,9.863676144502448e-195,2.991215272400681e-23,8.554697775513914e-169,2.0425322382947472e-143,0.938,3.0675846760725457e-104,4.0235310899018383e-22,2.505688185584506e-68,3.4394515436878296e-24,8.82423372677297e-22,0.0,0.0,0.03737792143899724,0.01,0.05,9.107618044272574e-118,7.993709488743593e-129,0.002,1.4468257601780219e-203
1.9688906109649618e-25,0.05954180215024143,5.313052614511562e-23,2.799014401789498e-46,5.3810721366717786e-20,5.1590999591303346e-192,6.003348134118855e-23,2.2198668855958975e-166,2.649954570198241e-141,0.938,9.913903602164526e-103,8.075198760851943e-22,2.016795841703929e-67,6.902955196072732e-24,1.771017538170518e-21,0.0,0.0,0.03737792143899724,0.01,0.05,1.4626807701348155e-116,5.1676743661627124e-127,0.002,1.513527184050286e-200
3.9446414679611604e-25,0.05954180215024143,1.0644617607470898e-22,1.1225299640965325e-45,1.0780893653610333e-19,2.6697205726223846e-189,1.2027613857555216e-22,5.721408876287916e-164,3.4148611441858306e-139,0.938,3.1881628247526496e-101,1.6178534102752154e-21,1.618351649601899e-66,1.3829962500842396e-23,3.548205869156955e-21,0.0,0.0,0.03737792143899724,0.01,0.05,2.3446587085758755e-115,3.323956862836249e-125,0.002,1.566450075017797e-197
