Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0,0.05954180215024143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737792143899724,0.01,0.05,0.0,0.0,0.002,0.0
8.768035143094906e-28,0.05954180215024143,2.366054862657815e-25,8.311913312001571e-51,2.3963459086609555e-22,-2.110586013377812e-187,2.6734632753614166e-25,-4.8134551098633576e-164,-6.4989799404822025e-137,3.525046405443026e-92,0.938,2.698442468729517e-111,3.596117840590702e-24,4.655244501031125e-74,3.074084127036004e-26,7.886849542192715e-24,0.0,0.0,0.03737792143899724,0.01,0.05,-1.755627698920605e-135,1.2291170594405772e-137,0.002,2.0628029932128105e-192
2.4550498400665736e-27,0.05954180215024143,6.624953615441883e-25,5.020395640448954e-50,6.709768544250677e-22,4.288468990982729e-185,7.485697171011966e-25,4.441827414982643e-162,3.3678941039089116e-135,1.1083309896341429e-90,0.938,1.5544486888611323e-109,1.0069129953653966e-23,5.526706271624157e-73,8.607435555700812e-26,2.208317871813961e-23,0.0,0.0,0.03737792143899724,0.01,0.05,6.9740565686305395e-124,1.2867592989910248e-135,0.002,8.695060129181375e-191
5.61154249158074e-27,0.05954180215024143,1.514275112101002e-24,2.4171043911300607e-49,1.533661381543011e-21,2.3777522711215282e-182,1.7110164962313066e-24,9.469213735360402e-160,3.534741864646787e-133,2.4726254685997288e-89,0.938,6.97096064088295e-108,2.3015154179780492e-23,5.426152990401889e-72,1.9674138413030425e-25,5.04758370700334e-23,0.0,0.0,0.03737792143899724,0.01,0.05,1.344996623953387e-122,1.1559438778200841e-133,0.002,7.572985790390526e-189
1.1924527794609073e-26,0.05954180215024143,3.2178346132146294e-24,1.0556129906242036e-48,3.2590304357788953e-21,8.717817456698348e-180,3.6359100544915265e-24,1.5144090626142253e-157,2.8221163575915177e-131,4.6309538519083336e-88,0.938,2.62268225968706e-106,4.890720263203355e-23,4.799370870783068e-71,4.180754412768964e-25,1.0726115377382097e-22,0.0,0.0,0.03737792143899724,0.01,0.05,2.3024349614493826e-121,8.716778781539737e-132,0.002,5.536805992596528e-187
2.455049840066574e-26,0.05954180215024143,6.624953615441884e-24,4.406976438023265e-48,6.7097685442506514e-21,2.6516517404869603e-177,7.48569717101197e-24,2.159120474947545e-155,2.0102301194930908e-129,7.998821142243333e-87,0.938,9.08157763028798e-105,1.0069129953653967e-22,4.034160400681587e-70,8.607435555700801e-25,2.208317871813961e-22,0.0,0.0,0.03737792143899724,0.01,0.05,3.800960459292793e-120,6.043842371312422e-130,0.002,3.855815428398862e-185
4.9802439612779065e-26,0.05954180215024143,1.3439191619896394e-23,1.8003936710328142e-47,1.361124476119412e-20,7.38608164253343e-175,1.5185271404052852e-23,2.9144019909578655e-153,1.3561752393721416e-127,1.3290160960199505e-85,0.938,3.0215086589440816e-103,2.042594933455519e-22,3.3074484301840814e-69,1.746079784156445e-24,4.479730539965463e-22,0.0,0.0,0.03737792143899724,0.01,0.05,6.174859574694993e-119,4.0240986081556956e-128,0.002,3.031339785374222e-183
1.0030632203700572e-25,0.05954180215024143,2.7067667628805413e-23,7.277479076496563e-47,2.741419719508087e-20,1.9714756653034546e-172,3.058441987013464e-23,3.830061277121746e-151,8.90951785666165e-126,2.1666316628143242e-84,0.938,9.857705411090277e-102,4.113958809635763e-22,2.6784574901544315e-68,3.516752241329165e-24,9.022555876268463e-22,0.0,0.0,0.03737792143899724,0.01,0.05,9.954400713678091e-118,2.6265380223149205e-126,0.002,4.5684437072635177e-181
2.0131408688545902e-25,0.05954180215024143,5.432461964662345e-23,2.9262423291435706e-46,5.502010206285364e-20,5.1529106685648765e-170,6.138271680229823e-23,4.967271062695298e-149,5.776862171259952e-124,3.499115922678426e-83,0.938,3.1850289347976507e-100,8.2566865619962525e-22,2.1558556086116094e-67,7.058097155674571e-24,1.8108206548874455e-21,0.0,0.0,0.03737792143899724,0.01,0.05,1.5986738169448734e-116,1.6975327900033732e-124,0.002,1.650895807778743e-178
4.0332961658236563e-25,0.05954180215024143,1.0883852368225953e-22,1.1735540533736504e-45,1.1023191179839624e-19,1.332881028330565e-167,1.2297931066662558e-22,6.399907581447369e-147,3.7213077230381174e-122,5.624726649668775e-82,0.938,1.0241269679882677e-98,1.6542142066717236e-21,1.7299383548671023e-66,1.4140786984365238e-23,3.62795078940864e-21,0.0,0.0,0.03737792143899724,0.01,0.05,2.5626538364393436e-115,1.091747369294104e-122,0.002,8.070778217887886e-176
