Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(48)
0.0,0.041168933244172715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025844181683401902,0.01,0.05,0.0,0.0,0.002,0.0,0.0
1.0771352104044786e-27,0.041168933244172715,2.416943903891478e-25,9.151372072530767e-56,2.447886448857469e-22,-3.398104106389747e-207,2.443688236133522e-25,-1.876216378798423e-181,-9.526052693443565e-148,2.96182751332069e-99,0.938,7.459033458656277e-121,3.673463041650563e-24,5.19930665298419e-83,2.674433224204414e-27,8.056479679638261e-24,0.0,0.0,0.025844181683401902,0.01,0.05,-3.748979718582171e-148,2.0057141839676615e-154,0.002,3.0501738793111256e-215,-1.471887393671607e-169
3.01597858913254e-27,0.041168933244172715,6.767442930896138e-25,5.5274287318101396e-55,6.854082056800913e-22,6.904558256710346e-205,6.842327061173863e-25,1.731361187060657e-179,4.936580357682769e-146,9.312459594608948e-98,0.938,4.296274287846572e-119,1.0285696516621575e-23,6.172616858424575e-82,7.488413027772358e-27,2.2558143102987133e-23,0.0,0.0,0.025844181683401902,0.01,0.05,2.7218530007760776e-136,2.0995191773971896e-152,0.002,1.3071048353998911e-213,1.9235093187507516e-157
6.893665346588663e-27,0.041168933244172715,1.546844098490546e-24,2.6612189986942375e-54,1.5666473272687795e-21,3.828249455429753e-202,1.5639604711254545e-24,3.690964911704761e-177,5.181141900353252e-144,2.077558507658638e-96,0.938,1.9266439906355237e-117,2.3510163466563598e-23,6.060311834723674e-81,1.7116372634908244e-26,5.156146994968488e-23,0.0,0.0,0.025844181683401902,0.01,0.05,5.2492879300786804e-135,1.8860451239419305e-150,0.002,1.3352662001061266e-211,7.611601161362818e-156
1.464903886150091e-26,0.041168933244172715,3.28704370929241e-24,1.1622242532137544e-53,3.3291255704461555e-21,1.4035936516263685e-199,3.3234160011415905e-24,5.902951256142256e-175,4.1365921094288256e-142,3.89103715648609e-95,0.938,7.248545288067896e-116,4.995909736644765e-23,5.360277186971613e-80,3.637229184918001e-26,1.0956812364308036e-22,0.0,0.0,0.025844181683401902,0.01,0.05,8.986003264022192e-134,1.4222228745554212e-148,0.002,2.3867788380754414e-209,2.6162474605575977e-154
3.01597858913254e-26,0.041168933244172715,6.767442930896138e-24,4.852057472876846e-53,6.854082056800903e-21,4.2692354677302445e-197,6.842327061173863e-24,8.415944694987466e-173,2.9465482618968556e-140,6.720799053484355e-94,0.938,2.5099465876570955e-114,1.0285696516621576e-22,4.505635956589575e-79,7.488413027772351e-26,2.2558143102987135e-22,0.0,0.0,0.025844181683401902,0.01,0.05,1.4834487690466966e-132,9.86104057626858e-147,0.002,1.0104278064072381e-206,8.648345205505237e-153
6.118127995097438e-26,0.041168933244172715,1.3728241374103595e-23,1.9822237964162264e-52,1.3903995029510387e-20,1.1891803597455456e-194,1.388014918123841e-23,1.1359924676328325e-170,1.987849925056727e-138,1.1166708139624549e-92,0.938,8.350759810255914e-113,2.0865270076575195e-22,3.693992576288165e-78,1.5190780713481032e-25,4.576080458034533e-22,0.0,0.0,0.025844181683401902,0.01,0.05,2.4099403120005397e-131,6.565641821372072e-145,0.002,5.3565572959285984e-204,2.811416883183304e-151
1.2322426807027236e-25,0.041168933244172715,2.764983826051851e-23,8.012465515506207e-52,2.8003820974929283e-20,3.174132446676721e-192,2.7955793421367496e-23,1.4929034397119282e-168,1.3059362736901086e-136,1.8204552580315943e-91,0.938,2.7244413513003563e-111,4.2024417196482435e-22,2.9914909615315175e-77,3.0595516084898345e-25,9.216612753506173e-22,0.0,0.0,0.025844181683401902,0.01,0.05,3.885029492862373e-130,4.285403652999712e-143,0.002,2.842539455206289e-201,9.066792265059707e-150
2.473102443088683e-25,0.041168933244172715,5.549303203334834e-23,3.221777143741141e-51,5.620347286576683e-20,8.296334170804025e-190,5.610708190162568e-23,1.9361716442635627e-166,8.467589339498253e-135,2.940040098304169e-90,0.938,8.802676615944518e-110,8.434271143629691e-22,2.4078121797178683e-76,6.140498682773275e-25,1.8497677344449452e-21,0.0,0.0,0.025844181683401902,0.01,0.05,6.23934590045715e-129,2.769656747193459e-141,0.002,1.4848948516576316e-198,2.9126137024471353e-148
4.954821967860601e-25,0.041168933244172715,1.11179419579008e-22,1.2920767321927197e-50,1.1260277664744095e-19,2.1459767317114285e-187,1.1240965886214205e-22,2.4945929825110017e-164,5.454605725929181e-133,4.726028571243514e-89,0.938,2.8304470513083972e-108,1.6897929991592587e-21,1.9321176355822304e-75,1.2302392831340065e-24,3.705980652633601e-21,0.0,0.0,0.025844181683401902,0.01,0.05,1.000159228226114e-127,1.7812701743717267e-139,0.002,7.681284308808697e-196,9.338347902217405e-147
