Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36),H2(13),H2X(31),NH2(D)(23),N2O(37)
0.0,0.06438004230410234,0.0,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040415171805012265,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
8.419025879808535e-28,0.06438004230410234,4.0304316859210314e-26,6.784977284606784e-51,2.392619907229139e-22,-1.1902147993172582e-214,1.8796906880471895e-25,0.938,2.4158239579631228e-118,7.181052704487934e-23,1.3562673709416041e-73,1.476647519455086e-25,9.843233165843185e-24,0.0,0.0,0.040415171805012265,0.01,0.05,1.2364922763587984e-134,1.8041077471835802e-143,0.002,-3.357970050158201e-225,2.6096924249227845e-159,1.2744369714389683e-67,4.4516769719280825e-69,9.334592204069319e-51,-6.2942669000005695e-248
2.35732724634639e-27,0.06438004230410234,1.1285208720578887e-25,4.098126279902499e-50,6.699335740241588e-22,4.1815896841036176e-212,5.263133926532132e-25,0.938,1.4696636220998127e-116,2.0106947572566217e-22,1.6101606227818736e-72,4.1346130544742395e-25,2.756105286436093e-23,0.0,0.0,0.040415171805012265,0.01,0.05,7.593307140430105e-123,1.993589308856802e-141,0.002,2.1202062196057985e-222,2.8847337012748094e-147,1.9259291514967306e-66,6.72737428406681e-68,5.638093691257868e-50,7.147211730421364e-245
5.3881765630774626e-27,0.06438004230410234,2.57947627898946e-25,1.973071394363654e-49,1.5312767406266476e-21,4.6014860373248366e-209,1.2030020403502022e-24,0.938,6.634764105242425e-115,4.595873730872278e-22,1.580865247569537e-71,9.450544124512543e-25,6.29966922613964e-23,0.0,0.0,0.040415171805012265,0.01,0.05,1.4644235199378325e-121,1.8036497030610577e-139,0.002,4.675726038571654e-219,1.1415303360731657e-145,2.0718266960244728e-65,7.237002270201558e-67,2.714499412943358e-49,3.155863871237588e-241
1.1449875196539608e-26,0.06438004230410234,5.481387092852602e-25,8.616921151450628e-49,3.2539630738316226e-21,3.391450009768591e-206,2.5563793357441815e-24,0.938,2.5051606845421426e-113,9.766231678103591e-22,1.3982574087459619e-70,2.0082406264589133e-24,1.3386797105546733e-22,0.0,0.0,0.040415171805012265,0.01,0.05,2.5068761145007928e-120,1.3650292878329843e-137,0.002,6.89388517586221e-216,3.923649938538319e-144,1.904365677955003e-64,6.652051912266158e-66,1.1854932099168036e-48,9.307052530968871e-238
2.35732724634639e-26,0.06438004230410234,1.1285208720578885e-24,3.597394956298529e-48,6.699335740241558e-21,2.0708954068797867e-203,5.263133926532147e-24,0.938,8.691566179005961e-112,2.0106947572566216e-21,1.1753196033800696e-69,4.134613054474225e-24,2.756105286436091e-22,0.0,0.0,0.040415171805012265,0.01,0.05,4.1384608673440025e-119,9.483190393697346e-136,0.002,8.420305355537516e-213,1.2970133615231843e-142,1.6292249312777758e-63,5.690970460725828e-65,4.949200786597552e-48,2.2737173541410154e-234
4.782006699731248e-26,0.06438004230410234,2.2892851976031454e-24,1.4696532197549784e-47,1.3590081073061373e-20,1.156115429554551e-200,1.0676643108108106e-23,0.938,2.894654425134112e-110,4.078837936149147e-21,9.63598020670477e-69,8.38735791050482e-24,5.590956438198925e-22,0.0,0.0,0.040415171805012265,0.01,0.05,6.7231466848708964e-118,6.320506235453886e-134,0.002,9.402303534573574e-210,4.2163502677470933e-141,1.3470746793015245e-62,4.705404429508596e-64,2.0219100097702304e-47,5.0779637404284586e-231
9.631365606500964e-26,0.06438004230410234,4.610813848693659e-24,5.940573291582988e-47,2.737157173870079e-20,6.1785557456385506e-198,2.1503661471260127e-23,0.938,9.448634157786892e-109,8.215124293934196e-21,7.803466601047465e-68,1.68928476225659e-23,1.1260658741724587e-21,0.0,0.0,0.040415171805012265,0.01,0.05,1.0838286336470644e-116,4.127532647247676e-132,0.002,1.0050031416512621e-206,1.3597688846015912e-139,1.0954187575578954e-61,3.826356736697475e-63,8.172883535088483e-47,1.0855790026971021e-227
1.9330083420040396e-25,0.06438004230410234,9.253871150874686e-24,2.3886783929550277e-46,5.493455306997877e-20,3.2316335433905927e-195,4.31576981975646e-23,0.938,3.053635289779505e-107,1.6487697009504297e-20,6.280908806774348e-67,3.390382704668765e-23,2.260006334877588e-21,0.0,0.0,0.040415171805012265,0.01,0.05,1.7406255871193464e-115,2.6683162162344635e-130,0.002,1.051335700931302e-203,4.3681175983541905e-138,8.834949122402109e-61,3.0860953274388084e-62,3.2862805238114195e-46,2.271275690818044e-224
3.872751904711926e-25,0.06438004230410234,1.853998575523674e-23,9.579668718273183e-46,1.1006051573253133e-19,1.6722991644969043e-192,8.646577165017527e-23,0.938,9.820033461998252e-106,3.30328424406445e-20,5.040033759616779e-66,6.792578589492942e-23,4.527887256287833e-21,0.0,0.0,0.040415171805012265,0.01,0.05,2.7902007222213607e-114,1.7163171226975037e-128,0.002,1.0880973294841357e-200,1.4004947437803127e-136,7.096711600258162e-60,2.4789195960623938e-61,1.3179454725372245e-45,4.70141313095058e-221
